"字詞名","注音一式","釋義"
"綜合銀行","ㄗㄨㄥˋ　ㄏㄜˊ　ㄧㄣˊ　ㄏㄤˊ","具備商業、投資、開發、信託等各類業務性質的銀行。"
"綜藝團","ㄗㄨㄥˋ　ㄧˋ　ㄊㄨㄢˊ","包羅歌唱、舞蹈、雜技等節目的演藝團體。[例]自從有了彩色電視之後，五、六〇年代很多綜藝團在全臺各地演出的盛況，今已不復見。"
"綜藝節目","ㄗㄨㄥˋ　ㄧˋ　ㄐㄧㄝˊ　ㄇㄨˋ","內容豐富多變，具娛樂性質，以現場錄製方式製作的電視節目。通常包括演藝人員的歌舞表演、短劇、訪問及趣味遊戲等。"
"差","ㄘ","1.→參差
2.等級。[例]尊卑之差、愛無差等"
"疵","ㄘ","毛病、缺點。[例]瑕疵、吹毛求疵"
"雌","ㄘ","陰性、母的。與「雄」相對。[例]雌雄、雌蕊、雌兔"
"雌伏","ㄘ　ㄈㄨˊ","母雞趴在窩裡。比喻屈居人下，不得發展。語出《後漢書．卷二十七．趙典傳》。[例]以他的理想，那甘雌伏？若有機會必然一展雄心壯志。"
"雌黃","ㄘ　ㄏㄨㄤˊ","1.一種礦物。成分為三硫化二砷，橙黃色。晶體多呈柱狀，略透明，可作染料及除毛用。
2.纂改文字。古人用黃紙寫字時，常以雌黃塗抹錯誤之處再改易。其作用猶今之修正液。
3.比喻不顧事情真相，隨意批評。[例]信口雌黃"
"雌雄","ㄘ　ㄒㄩㄥˊ","1.雌性及雄性。[例]雌雄莫辨
2.成對的事物。[例]干將莫邪是古代有名的雌雄寶劍。
3.比喻勝敗高下。[例]一決雌雄"
"雌雄莫辨","ㄘ　ㄒㄩㄥˊ　ㄇㄛˋ　ㄅㄧㄢˋ","分不出是雌性還是雄性。[例]他長相俊秀，扮起旦角來，果真雌雄莫辨。"
"雌蕊","ㄘ　ㄖㄨㄟˇ","植物生殖器官之一。居於花的中心，分柱頭、花柱、子房三部分，有單複之別。　◎"
"雌威","ㄘ　ㄨㄟ","形容女子的威風。[例]我國女將今晚大展雌威，在很短的時間內就擊敗強敵，擠進總決賽。"
"祠","ㄘˊ","1.祭祀祖先的地方。[例]祖祠、宗祠、祠堂
2.祭祀先賢、烈士或神明的地方。[例]忠烈祠、武侯祠、福德祠"
"祠堂","ㄘˊ　ㄊㄤˊ","祭祀祖先、先賢或烈士的廟宇或殿堂。[例]傳統建築中對祠堂的重視，可以顯現慎終追遠的精神。"
"詞","ㄘˊ","1.語言中的最小單位，具有完整觀念，能獨立自由的運用。如人、蜻蜓等。[例]名詞、形容詞
2.有組織的、成篇的，或能表達完整概念的語言文字。[例]歌詞、講詞、臺詞
3.唐宋時期興起的文體。由五、七言詩及民歌演變而來。句法多長短不一，且須遵守一 定的格律限制，其後遞變而為曲。　△長短句、詩餘"
"詞牌","ㄘˊ　ㄆㄞˊ","填詞用的牌名。如水調歌頭、菩薩蠻等。[例]賀新郎這個詞牌適合表現慷慨悲憤的心情，所以懷才不遇的辛棄疾很喜歡填它。　△詞牌子、詞調"
"詞鋒","ㄘˊ　ㄈㄥ","形容如刀刃般鋒利的文詞。[例]他演講時詞鋒銳利，神情激昂，頗能帶動現場的氣氛。"
"詞典","ㄘˊ　ㄉㄧㄢˇ","一種工具書。依據詞彙的體系及一定的編輯體例，蒐集詞、詞組、短語等資料，並加以解釋，以備查索、參考。可分普通及專業兩種，前者如《國語詞典》，後者如《電腦詞典》。[例]詞典是從事學術研究不可或缺的工具書。"
"詞令","ㄘˊ　ㄌㄧㄥˋ","應對的言語。[例]外交人員常需以婉轉的詞令，去應對尖銳的問題。"
"詞彙","ㄘˊ　ㄏㄨㄟˋ","一種語言裡所有語詞和固定詞組的總稱。除一般語詞外，還包括古語、方言、外來語詞及各科術語。[例]老師要求同學多閱讀課外書籍，以增加寫作時使用的詞彙。　△語彙、辭彙"
"詞句","ㄘˊ　ㄐㄩˋ","文詞和句子。[例]這篇文章的詞句通順，讀起來非常流暢。"
"詞窮","ㄘˊ　ㄑㄩㄥˊ","論辯時，因為理由或準備的材料不充分，以致於無言以對。[例]他一時詞窮，不知如何辯解。"
"詞性","ㄘˊ　ㄒㄧㄥˋ","語詞在區別語法功能特點的詞類中，具有的屬性。如名詞、動詞、形容詞等為詞類，而「人」、「事」等詞的詞性為「名詞」。"
"詞藻","ㄘˊ　ㄗㄠˇ","經過修飾的精美詞語。常指引用典故或詩文中現成語句的語詞。[例]過度注重詞藻的修飾，往往會使文章徒具華美的形式而缺乏內涵。"
"詞組","ㄘˊ　ㄗㄨˇ","按照一定的語法規則由兩個或兩個以上的實詞組成的句法單位。包括自由詞組和固定詞組兩種。前者如「寫字」、「新發展」等，後者如「國立臺灣師範大學」、「兄弟姊妹」、「如虎添翼」等。"
"詞素","ㄘˊ　ㄙㄨˋ","構成詞的成分最小，且在意義上不能再分析的單位。如「日」、「月」、「葡萄」、「蟋蟀」等只包含一個詞素；「電視」、「汽車」、「環保」等則各包含兩個詞素。"
"詞尾","ㄘˊ　ㄨㄟˇ","一種詞綴詞素。從詞的結構來看，一個詞除去詞幹後所剩的部分稱為「詞尾」。如「孩子們」的「們」。"
"詞餘","ㄘˊ　ㄩˊ","曲的別稱。因有人認為它是由詞發展而來，故稱為「詞餘」。如吳梅先生的曲學講義稱《詞餘講義》。[例]將曲稱為「詞餘」，就好像將詞稱為「詩餘」一樣，顯示兩者關係之密切。"
"詞語","ㄘˊ　ㄩˇ","言詞、話語。[例]寫作應盡量避免生僻的詞語。"
"茨","ㄘˊ","用茅草或葦草蓋屋子。[例]茅茨"
"瓷","ㄘˊ","以瓷土燒製成的器物。較陶堅硬細緻。[例]瓷盤、瓷碗、瓷杯　△瓷器"
"瓷土","ㄘˊ　ㄊㄨˇ","製造瓷器的原料。由正長石分解而成，屬於最純的黏土。其中多數由高嶺土組成，不含其他黏土礦物。"
"瓷器","ㄘˊ　ㄑㄧˋ","以瓷土燒製成的器物。坯質具半透明性，不吸水，焙燒溫度較陶器高，成品質地堅硬細緻，叩之有金石聲。表面塗有玻璃質的釉，細膩富光澤。[例]瓷器是中國古代重要的特產，故中國有「瓷國」的稱呼。　△瓷、磁器"
"瓷磚","ㄘˊ　ㄓㄨㄢ","一種質地細緻的磚。表面經塗釉處理，具有瓷器般的光澤。抗潮耐熱，用來鋪設地板或牆面，清潔且美觀。[例]廚房浴廁為了防潮，常以瓷磚鋪地。　△磁磚"
"茲","ㄘˊ","→龜茲"
"慈","ㄘˊ","1.具深切愛意的、和善的。[例]慈愛、仁慈、慈祥
2.稱謂。用以尊稱母親。[例]家慈、慈命、慈顏"
"慈悲","ㄘˊ　ㄅㄟ","佛教用語。慈指給予眾生安樂；悲指拔除眾生的痛苦。後轉為慈愛、悲憫的意思。[例]多數的宗教本著慈悲為懷的精神，教導世人互助互愛。"
"慈悲為懷","ㄘˊ　ㄅㄟ　ㄨㄟˊ　ㄏㄨㄞˊ","以憐憫、寬容的心對待他人。[例]她慈悲為懷，決定不向肇事者提出民事賠償。"
"慈眉善目","ㄘˊ　ㄇㄟˊ　ㄕㄢˋ　ㄇㄨˋ","形容慈祥、和善的容貌。[例]看他慈眉善目的，一定是個好人。"
"慈母","ㄘˊ　ㄇㄨˇ","慈愛的母親。[例]慈母對子女的愛，有如冬陽，和煦而溫暖。"
"慈父","ㄘˊ　ㄈㄨˋ","慈祥、和藹的父親。[例]在重視啟發、溝通等教育理念的現代，父親的角色已漸由嚴父轉為慈父了。"
"慈航","ㄘˊ　ㄏㄤˊ","佛教上指佛、菩薩以慈悲的心，普渡眾生脫離輪迴的苦海。[例]慈航普渡"
"慈航普渡","ㄘˊ　ㄏㄤˊ　ㄆㄨˇ　ㄉㄨˋ","佛教用語。指佛、菩薩以慈悲之心助人脫離苦海，好比船隻載人平安渡過海洋。[例]觀音大士慈航普渡，救苦救難。　△慈航普度"
"慈暉","ㄘˊ　ㄏㄨㄟ","形容人慈祥、和煦，有如陽光。常用以代稱尊親。[例]仰望慈暉，孺慕彌殷。"
"慈祥","ㄘˊ　ㄒㄧㄤˊ","慈善祥和。[例]祖母見到兒孫們，臉上總會露出慈祥的笑容。"
"慈善機構","ㄘˊ　ㄕㄢˋ　ㄐㄧ　ㄍㄡˋ","從事救濟、輔導等社會福利工作的民間機構。[例]這次義賣的全部所得，將捐贈給慈善機構。"
"慈藹","ㄘˊ　ㄞˇ","慈善和藹。[例]社工人員慈藹的態度，給予受助者不少的鼓勵與安慰。"
"慈愛","ㄘˊ　ㄞˋ","仁慈且富有愛心。多指長輩對晚輩的愛而言。[例]母親的慈愛溫暖著每個孩子的心房。"
"慈幼","ㄘˊ　ㄧㄡˋ","愛護年幼的人。[例]他敬老慈幼的態度，令對方感到親切溫馨。"
"磁","ㄘˊ","1.物質能吸引鐵、鈷、鎳等金屬的性質。[例]磁性、地磁、磁場
2.以瓷土燒製成的器物。通「瓷」。[例]磁磚、磁器"
"磁片","ㄘˊ　ㄆㄧㄢˋ","表層塗有磁氧化物的軟性圓形塑膠片。經由電腦軟式磁碟機的讀寫，可在其上存取資料。[例]磁片存入資料後，應作防寫處理，以避免資料流失。　△磁碟"
"磁帶","ㄘˊ　ㄉㄞˋ","一種塗有磁性粉末的彈性膠帶。聲音、影像等資料藉由膠帶表面的磁化而得以儲存。[例]磁帶應避免接觸磁性物品，以免其中的資料被破壞。"
"磁碟","ㄘˊ　ㄉㄧㄝˊ","1.一種電腦的資料儲存設備。為雙面均塗有磁性物質的圓形薄片。硬式磁碟由鋁合金製成，一般裝置於直接存取磁碟的儲存體中。軟式磁碟的材質為塑膠片，能交換至不同機器中使用。[例]將硬式磁碟中的資料拷貝到軟式磁碟中保存，是管理電腦資料較穩當的作法。　△磁片
2.一種操縱磁碟進行讀寫資料的裝置。可分為軟式磁碟及硬式磁碟。[例]磁碟的磁頭若是受損，就無法讀寫磁片上的資料。　△磁碟機"
"磁碟片","ㄘˊ　ㄉㄧㄝˊ　ㄆㄧㄢˋ","一種儲存資料的裝置。磁碟片可分為硬式與軟式兩種，硬式磁碟片基材是鋁，硬度大，不易變形，藉空氣動力的原理運轉，轉速極快，一般裝置於直接存取磁碟儲存體中；軟式磁碟片的材質是塑膠，轉速較慢，但價格便宜，裝卸容易，能交換使用。"
"磁鐵","ㄘˊ　ㄊㄧㄝˇ","以天然磁鐵礦加工製成，或以鋼、合金經磁化後製成的磁體。具有吸引鐵、鈷、鎳等金屬物體的性質。[例]磁鐵磁性的強度，會影響磁場的範圍。　△吸鐵石、玄石、磁石"
"磁力","ㄘˊ　ㄌㄧˋ","異性磁極相互吸引與同性磁極相互排斥的作用力。[例]利用電流通過線圈，也能產生和磁鐵相似的磁力。"
"磁化","ㄘˊ　ㄏㄨㄚˋ","物體在磁場作用下變成具有磁性的過程。"
"磁極","ㄘˊ　ㄐㄧˊ","磁性物兩端，磁力線出入的部分。其磁性最強。[例]指南針是利用地球兩端磁極的吸引力，來判定方向。"
"磁器","ㄘˊ　ㄑㄧˋ","以含有長石、石英等的黏土為原料，燒製而成的器具。[例]好的磁器質地細緻，呈現溫潤的光澤。　△瓷器"
"磁區","ㄘˊ　ㄑㄩ","構成磁鐵的原子各自成群，同一群的原子磁極彼此平行。此種同向的原子所排列的區域稱為「磁區」。§英ferromagnetic domain 　△磁域"
"磁性","ㄘˊ　ㄒㄧㄥˋ","1.具有相吸、相斥等物理的性質。[例]普通鋼鐵經過磁化，也能產生磁性。
2.吸引力。[例]他的聲音低沉悅耳，富有磁性。"
"磁針","ㄘˊ　ㄓㄣ","針形的磁性物，能在水平方向自由迴轉。其端常指南北，故可用為指南針。"
"磁磚","ㄘˊ　ㄓㄨㄢ","一種質地細緻的磚。表面經塗釉處理，具有磁器般的光澤。抗潮耐熱，用來鋪設地板或牆面，清潔而美觀。[例]磁磚清洗容易，是鋪設廚房地板最常使用的材料。　△瓷磚"
"磁場","ㄘˊ　ㄔㄤˇ","具有磁力線作用的空間範圍。[例]地球因地磁的作用，本身即是一個磁場。"
"磁石","ㄘˊ　ㄕˊ","具有磁性的礦石。多為鐵、鋼、鈷、鎳等金屬，有天然及人工製成者。[例]磁石經過加熱或碰撞，容易使磁性減弱或消失。　△磁鐵"
"辭","ㄘˊ","1.推卻、不接受。[例]推辭、辭謝
2.告別、離開。[例]告辭、辭行、辭職
3.敘述、說明的語言文字。通「詞」。[例]言辭、措辭、辭藻
4.起於戰國時期楚國的文體。內容多楚地方言及名物，以屈原為代表作家。漢人輯集屈原、宋玉等人相關的作品稱為《楚辭》，後人因稱此類賦體為「辭賦」或「辭」。"
"辭別","ㄘˊ　ㄅㄧㄝˊ","辭行、告別。[例]他跟我們辭別後，就坐上汽車往機場去了。"
"辭不達意","ㄘˊ　ㄅㄨˋ　ㄉㄚˊ　ㄧˋ","所用的言詞無法確切表達心意。[例]他太緊張，說起話來辭不達意。"
"辭典","ㄘˊ　ㄉㄧㄢˇ","一種工具書。依據詞彙體系及一定的編輯體例，蒐集詞、詞組、短語等資料，並加以解釋，以備查索、參考。可分普通及專業兩種，前者如《國語辭典》，後者如《電腦辭典》。[例]一本好的辭典應具有內容詳實、文字通順、容易查索等優點。"
"辭退","ㄘˊ　ㄊㄨㄟˋ","1.免除他人的職務。[例]在經濟不景氣的波及下，不少雇主被迫辭退員工，以減少人事開支。
2.推辭、拒絕。[例]他辭退所有邀約，閉門專心著述。"
"辭令","ㄘˊ　ㄌㄧㄥˋ","應對的言語。[例]從事公關工作須注意態度和辭令，才能達到溝通的效果。"
"辭彙","ㄘˊ　ㄏㄨㄟˋ","一種語言裡所有語詞和固定詞組的總稱。除一般語詞外，還包括古語、方言、外來語詞及各科術語。[例]他寫作時，習慣用創新的辭彙以引起讀者的注意。　△語彙、詞彙"
"辭句","ㄘˊ　ㄐㄩˋ","言詞和文句。[例]這封信的辭句通順，所要表達的意念也很清晰。"
"辭謝","ㄘˊ　ㄒㄧㄝˋ","客氣的推辭掉。[例]她辭謝所有邀約，在家陪伴年老的雙親。"
"辭行","ㄘˊ　ㄒㄧㄥˊ","遠行之前向親友告別。[例]他出國深造前，一一向親友及師長辭行。"
"辭職","ㄘˊ　ㄓˊ","自請解除所擔任的職務。[例]他在工作上表現出色，所以辭職時一再被上司慰留。"
"辭呈","ㄘˊ　ㄔㄥˊ","請求辭職的簽呈。[例]為了表示對這次事件負責，他決定明天向上級遞出辭呈。"
"辭世","ㄘˊ　ㄕˋ","去世、死亡。[例]自從董事長辭世之後，整個公司變得群龍無首。"
"辭藻","ㄘˊ　ㄗㄠˇ","經過修飾的精美詞語，常指引用的典故或詩文中現有的詞語。[例]一篇好文章不但要有實在的內涵，也要有注意辭藻的修飾。"
"辭色","ㄘˊ　ㄙㄜˋ","言語和態度。[例]不假辭色"
"辭歲","ㄘˊ　ㄙㄨㄟˋ","除夕晚上親友間互祝平安，辭別舊年的活動。[例]除夕夜家家戶戶開始圍爐慶祝，準備辭歲迎新。"
"辭義","ㄘˊ　ㄧˋ","文辭的意義。[例]這篇課文的辭義艱深，講解起來較為費力。"
"此","ㄘˇ","1.這、這個。與「彼」相對。[例]顧此失彼、諸如此類、厚此薄彼
2.這裡、這兒。[例]由此前進、到此為止"
"此地","ㄘˇ　ㄉㄧˋ","這個地方。[例]此地風景秀麗，是著名的觀光勝地。"
"此刻","ㄘˇ　ㄎㄜˋ","現在。[例]明天就是期末考，此刻同學們正加緊準備，做最後複習。"
"此後","ㄘˇ　ㄏㄡˋ","從此以後。[例]他當年決心戒賭，此後果然再也沒賭過。"
"此舉","ㄘˇ　ㄐㄩˇ","這項舉動。[例]會議通過採買新設備的議案，此舉將有助於研究工作的推動。"
"此起彼伏","ㄘˇ　ㄑㄧˇ　ㄅㄧˇ　ㄈㄨˊ","這裡起來，那裡倒下。形容連續不斷。[例]八二三炮戰時，炸彈此起彼伏，所有屋舍都毀於一旦。"
"此起彼落","ㄘˇ　ㄑㄧˇ　ㄅㄧˇ　ㄌㄨㄛˋ","這裡起來，那裡落下。形容連續不斷。[例]過年時鞭炮聲此起彼落，好不熱鬧。"
"此時","ㄘˇ　ㄕˊ","現在、這個時候。[例]此時正是西瓜盛產的季節，不但品質好，價錢也便宜。"
"此時此刻","ㄘˇ　ㄕˊ　ㄘˇ　ㄎㄜˋ","這個時刻、現在。[例]二月初至，此時此刻，正是到陽明山賞花的最佳時機。"
"此生","ㄘˇ　ㄕㄥ","這一生、這輩子。[例]珍惜每一天的時間，充實生命，才能不枉此生。"
"此一時彼一時","ㄘˇ　ㄧ　ㄕˊ　ㄅㄧˇ　ㄧ　ㄕˊ　","比喻目前的情勢和以往不同。[例]此一時彼一時，目前市場沒有以往樂觀，還是儘快把存貨拋售掉吧！"
"此外","ㄘˇ　ㄨㄞˋ","除此以外。[例]他主要的休閒活動是爬山，此外還喜歡聽音樂及看書。"
"次","ㄘˋ","1.第二的、下一個。[例]次子、次年、其次
2.較差的、較不重要的。[例]次貨、次級、次要
3.等第、順序。[例]席次、年次、名次
4.外出居住的地方、所在。[例]客次、旅次、舟次
5.中間。[例]胸次
6.量詞。計算動作回數的單位。[例]初次嘗試、第三次段考"
"次等","ㄘˋ　ㄉㄥˇ","第二等、下一等。[例]次等貨品、次等角色"
"次第","ㄘˋ　ㄉㄧˋ","先後的次序。[例]優勝者上臺依次第排好，接受頒獎。"
"次級","ㄘˋ　ㄐㄧˊ","下一級、次等的。[例]次級文化、次級團體"
"次級團體","ㄘˋ　ㄐㄧˊ　ㄊㄨㄢˊ　ㄊㄧˇ","一種大社會或大組織裡的小團體。是人們在共同利益或關係下，經由法規或明文規定所成立，講求理性與效率，成員間講求權利與義務。如工會、教會。"
"次序","ㄘˋ　ㄒㄩˋ","依次排列的順序。[例]乘車應排隊依先後次序上下車，不要爭先恐後。"
"次數","ㄘˋ　ㄕㄨˋ","1.動作、事件等重複出現的回數。[例]請假次數過多，會影響工作考績。
2.數學的代數式中，各項變數次方的數目，稱為「次數」。單項中的次數為各元的指數總和，如 x²y次數為3。代數式中，則以各項中次方最高者的次數為此一代數式的次數，如x²＋2x＋1的次數為2。"
"次日","ㄘˋ　ㄖˋ","第二天。[例]他們正在收拾行李，預備次日回國。"
"次子","ㄘˋ　ㄗˇ","家中排行第二的兒子。[例]他是家中次子，上有一兄一姊，下有一個妹妹。"
"次要","ㄘˋ　ㄧㄠˋ","比較不重要的。[例]先把主要問題解決，再來談次要問題。"
"伺","ㄘˋ","→伺候"
"伺候","ㄘˋ　ㄏㄡˋ","侍奉、服侍。[例]他出身富豪之家，從小養尊處優，事事有人伺候。"
"刺","ㄘˋ","1.以尖銳的東西扎入。[例]穿刺、刺繡　◎
2.細而尖銳如針的東西。[例]芒刺、魚刺
3.以尖酸刻薄的言語指出或嘲笑別人的過失。[例]諷刺、譏刺
4.因外物刺激使產生不好的感覺。[例]刺眼、刺耳、刺鼻
5.暗殺。[例]行刺、刺殺、遇刺
6.暗中打聽。[例]刺探
7.名片、名帖。[例]名刺、刺帖、投刺"
"刺鼻","ㄘˋ　ㄅㄧˊ","氣味強烈，使鼻子無法忍受。[例]阿摩尼亞的味道刺鼻，大家趕緊拿出手帕捂住鼻子。"
"刺破","ㄘˋ　ㄆㄛˋ","以尖銳的物體穿破。[例]氣球被針刺破，發出了一聲爆響。"
"刺刀","ㄘˋ　ㄉㄠ","裝在步槍、衝鋒槍上，用於擊刺的尖刀。[例]戰士將刺刀裝在槍上，準備開始肉搏戰。"
"刺探","ㄘˋ　ㄊㄢˋ","暗中探聽。[例]我方派出斥候，到敵陣刺探消息。"
"刺股懸梁","ㄘˋ　ㄍㄨˇ　ㄒㄩㄢˊ　ㄌㄧㄤˊ","比喻發憤向學。[例]為了參加大學聯考，他拚命用功，已到刺股懸梁的地步。"
"刺骨","ㄘˋ　ㄍㄨˇ","1.比喻深刻。[例]椎心刺骨
2.寒氣侵入骨內。形容非常寒冷。[例]寒流來襲，刺骨的冷風凍得人難以忍受。"
"刺客","ㄘˋ　ㄎㄜˋ","進行暗殺的人。[例]警方經過連日的調查，已經逮捕到企圖暗殺候選人的刺客。"
"刺激","ㄘˋ　ㄐㄧ","1.能引起有機體反應或使其發生變化的原因。有存於外界的物理刺激，也有由有機體自行產生的生理刺激。[例]眼睛因接受光線的刺激而產生視覺。
2.促進、推動事物，使其產生變化。[例]政府推動公共建設，有助於刺激國內產業的發展。
3.挫折、打擊。[例]兒子意外喪生，使他受到嚴重的刺激。"
"刺青","ㄘˋ　ㄑㄧㄥ","在皮膚上刺染各種圖案。[例]現代的原住民已少有刺青的習俗了。"
"刺繡","ㄘˋ　ㄒㄧㄡˋ","一種女紅。利用各種色線在紡織品或其他物品上，以不同的方法繡出各種圖案。繡法分直紋、短針兩類。[例]刺繡中的平繡、廣繡、蘇繡、湘繡號稱中國四大名繡，馳名中外。"
"刺殺","ㄘˋ　ㄕㄚ","趁人不備，突然加以擊殺。[例]為防有人在典禮中刺殺元首，安全人員已做好各種防範措施。"
"刺耳","ㄘˋ　ㄦˇ","1.聲音尖銳或吵雜，使耳朵難受。[例]長期暴露在刺耳的噪音中，容易使人精神緊張。
2.比喻言語不中聽。[例]他的話雖刺耳，卻是誠意的直諫，最後仍被接受了。"
"刺眼","ㄘˋ　ㄧㄢˇ","1.光線或顏色強烈，使眼睛覺得不舒服。[例]雪地反射的光線非常刺眼，需要戴遮光鏡保護雙眼。
2.惹人注目而使人覺得不順眼。[例]他十分怪異的穿著，令人覺得很刺眼。"
"刺蝟","ㄘˋ　ㄨㄟˋ","動物名。食蟲目蝟科。身上布滿長刺，遇危險時，會將頭縮進胸部，再將整個身子捲成團狀，以保護自己。晝伏夜出，以昆蟲、蝸牛、鳥等為食。分布在歐亞及非洲的低地和沙漠中。[例]刺蝟身上的棘刺，是用來嚇阻敵害的自衛工具。"
"擦","ㄘㄚ","1.兩物相摩。[例]摩擦、擦撞、摩拳擦掌
2.揩、拭。[例]擦黑板、擦皮鞋、擦乾淨　◎
3.塗抹。[例]擦粉、擦藥、擦油
4.貼近、靠近。[例]擦身而過
5.擦抹的用具。[例]板擦、橡皮擦"
"擦肩而過","ㄘㄚ　ㄐㄧㄢ　ㄦˊ　ㄍㄨㄛˋ","互相錯身，往相反方向離開。[例]他們兩人匆匆擦肩而過，誰也沒認出對方。"
"擦槍走火","ㄘㄚ　ㄑㄧㄤ　ㄗㄡˇ　ㄏㄨㄛˇ","擦拭槍枝時意外發生子彈擊發的現象。比喻做事因意外而導致預料之外的結果。[例]討論事情時最怕擦槍走火演變成無謂的爭吵。"
"擦洗","ㄘㄚ　ㄒㄧˇ","抹除不潔、洗去汙垢。[例]每逢假日，他就會把愛車擦洗乾淨。"
"擦撞","ㄘㄚ　ㄓㄨㄤˋ","物體邊緣相互摩擦撞擊。[例]巷子口有兩部車因擦撞停在原地等候交通大隊來處理，造成居民出入受阻。"
"擦拭","ㄘㄚ　ㄕˋ","擦抹、拂拭掉。[例]天氣太熱，他頻頻用手帕擦拭臉上的汗水。"
"擦身而過","ㄘㄚ　ㄕㄣ　ㄦˊ　ㄍㄨㄛˋ","互相錯過，往相反方向離去。[例]機會來臨時要懂得把握，別讓它擦身而過。"
"擦傷","ㄘㄚ　ㄕㄤ","皮膚因與粗糙物體摩擦而受傷。[例]他不小心跌倒，兩個膝蓋都擦傷了。"
"嚓","ㄘㄚ","狀聲詞。形容物體互相摩擦的聲音。[例]喀嚓一聲"
"冊","ㄘㄜˋ","1.古代稱編綴竹簡成書為「冊」。後泛指書籍、簿本。[例]畫冊、手冊、紀念冊
2.量詞。計算書本的單位。[例]第二冊、人手一冊
3.賜封。[例]冊封、冊立"
"冊封","ㄘㄜˋ　ㄈㄥ","舊制封授皇貴妃、貴妃、親王等的典禮。[例]唐玄宗冊封楊玉環為貴妃後，寵幸日甚。"
"側","ㄘㄜˋ","1.旁邊。[例]兩側、側面、隨侍在側
2.傾斜。[例]側身、側耳傾聽"
"側門","ㄘㄜˋ　ㄇㄣˊ","旁門或正門旁的小門。[例]公司規定貨物裝卸一律由側門進出。"
"側面","ㄘㄜˋ　ㄇㄧㄢˋ","1.身體面部的側邊。[例]請轉身，現在拍攝側面。
2.物體旁邊的一面。[例]這棟大樓的逃生口位於電梯間側面。"
"側目","ㄘㄜˋ　ㄇㄨˋ","斜眼看人。有敬畏、奇怪、戒懼、憤怒、輕蔑等不同的含意。[例]他的奇裝異服，引來路人側目。"
"側重","ㄘㄜˋ　ㄓㄨㄥˋ","偏重於某一方面。[例]學生對五育應均衡發展，不應祇側重數理。"
"側身","ㄘㄜˋ　ㄕㄣ","1.傾側身體。[例]車廂內太擁擠了，乘客只能側身而過。
2.置身於某行業中。[例]老王多年來側身於新聞界。"
"側耳","ㄘㄜˋ　ㄦˇ","傾著耳朵聽。形容專注。[例]她正側耳傾聽收音機播放的一首懷念老歌。"
"側影","ㄘㄜˋ　ㄧㄥˇ","側面的身影。[例]前面那個人的側影很像小楊。"
"側臥","ㄘㄜˋ　ㄨㄛˋ","側身躺著。[例]他習慣側臥而眠。"
"測","ㄘㄜˋ","1.量度。[例]目測、深不可測
2.推想、揣度。[例]揣測、變化莫測"
"測定","ㄘㄜˋ　ㄉㄧㄥˋ","經檢測後確定。[例]這棟大樓經過安全測定後，可於近日內啟用。"
"測量","ㄘㄜˋ　ㄌㄧㄤˊ","使用儀器或量具以測定速度、長度等數值，或有關地形、地物之高下、大小等狀態。[例]任何建築物的規劃設計，都必須先經過精密的測量，絲毫馬虎不得。"
"測候","ㄘㄜˋ　ㄏㄡˋ","觀察測量天文和氣象。[例]經天文學家測候，本月將出現日全食的景象。"
"測謊器","ㄘㄜˋ　ㄏㄨㄤˇ　ㄑㄧˋ","測驗被詢者是否說謊的儀器。藉由儀器上對被詢者的血壓、脈膊和呼吸狀況等之生理狀態變化來判斷。"
"測出","ㄘㄜˋ　ㄔㄨ","測量得知。[例]這份考卷難易適中，可以測出學生們的程度。"
"測試","ㄘㄜˋ　ㄕˋ","對機械、儀器等的性能和安全各方面進行測量考核。[例]每輛汽機車都需經過測試合格，才能出廠。"
"測字","ㄘㄜˋ　ㄗˋ","就字的字形構造等，推測吉凶禍福的占卜方式。[例]測字的結果僅供參考，不可一概相信。"
"測驗","ㄘㄜˋ　ㄧㄢˋ","以一定標準測量能力或成績。[例]智力測驗、體力測驗"
"廁","ㄘㄜˋ","大小便的地方。[例]公廁、如廁"
"廁身其間","ㄘㄜˋ　ㄕㄣ　ㄑㄧˊ　ㄐㄧㄢ","加入參與在中間。[例]樂團演出十分成功，廁身其間的我亦覺得榮耀。"
"廁所","ㄘㄜˋ　ㄙㄨㄛˇ","大小便的地方。[例]爸爸每天早晨起床第一件事，就是帶著報紙進廁所。"
"惻","ㄘㄜˋ","悲痛。[例]悽惻、惻然"
"惻隱之心","ㄘㄜˋ　ㄧㄣˇ　ㄓ　ㄒㄧㄣ","同情憐憫之心。[例]他在路邊看到被遺棄的小狗，便動了惻隱之心，把牠們帶回家。"
"策","ㄘㄜˋ","1.馬鞭。
2.鞭打、驅使。[例]策馬前進
3.督促、勉勵。[例]策勵
4.扶、拄。[例]策杖
5.古代以竹簡記事然後連編成策。通「冊」。[例]簡策、書策
6.計謀。[例]計策、獻策、束手無策
7.文體名。內容以陳述政事的計畫為主。[例]《教戰守策》
8.國字筆畫名稱。"
"策反","ㄘㄜˋ　ㄈㄢˇ","我方工作人員滲透敵人內部，與敵方人員建立情誼，以各種方法說服敵方人員或其首腦，在適當時機接受我方指揮，為我方服務。[例]在下一次選舉前，他們將策反部分反對派人士，投靠我方。"
"策動","ㄘㄜˋ　ㄉㄨㄥˋ","發動、推動。[例]為了奪權，他策動了這場政變。"
"策勵","ㄘㄜˋ　ㄌㄧˋ","督責勉勵。[例]他總是時時策勵自己，往成功之路邁進。"
